country_i,country_j,part2gr_i,part2gr_j,part6gr_i,part6gr_j,d_subtypes,d_flights,d_T,d_RH,season_sync
Bulgaria,Thailand,0,1,0,1,29.3522271364122,,22.118966321483,3.60645230216248,B_partially
Bulgaria,Tunisia,0,0,0,2,28.2006016418059,,6.56637768943352,8.15967734055185,A_synchronized
Bulgaria,Türkiye,0,0,0,2,34.2512089765021,,3.00106867739311,2.20465096646073,A_synchronized
Bulgaria,Ukraine,0,0,0,2,27.4096532284401,,7.09882385466887,8.52540957544966,A_synchronized
Bulgaria,United Kingdom,0,0,0,0,19.1369569443907,,0.212993221977115,8.01846418059711,A_synchronized
Bulgaria,United Republic of Tanzania,0,1,0,1,36.0168173749582,,21.0291574039176,0.772580342791017,B_partially
Bulgaria,United States of America,0,1,0,4,33.0330314801417,,1.68633608651641,11.0449440734626,A_synchronized
Bulgaria,Viet Nam,0,1,0,1,35.5749890437914,,20.2665335450278,2.78986324489053,B_partially
Cambodia,Cameroon,1,1,1,1,13.9893614349558,,0.620411383202452,10.3579786161674,A_synchronized
Cambodia,Canada,1,1,1,4,19.8920653782998,,31.1958802511365,2.55261150456796,B_partially
Cambodia,Chile,1,1,1,3,20.903778211838,,12.6220764485483,3.42137409889254,B_partially
Cambodia,China,1,1,1,4,18.6359992272974,,10.1598878295686,5.45674885012114,A_synchronized
Cambodia,"China, Hong Kong SAR",1,1,1,4,18.2762025549247,,4.96807861328125,8.8333740234375,A_synchronized
Cambodia,Colombia,1,1,1,1,16.2959248992634,,1.24449100603175,10.0301333759854,A_synchronized
Cambodia,Costa Rica,1,1,1,3,26.0553776984872,,0.49249404166693,16.1243531751908,A_synchronized
Cambodia,Croatia,1,0,1,0,36.0242668462546,,23.8997802734375,7.15264892578125,B_partially
Cambodia,Cuba,1,1,1,1,17.7192032481885,,2.17010912117104,1.97879116505689,A_synchronized
Cambodia,Czechia,1,0,1,0,25.0777505537839,,24.9581249356483,8.55370587366879,B_partially
Cambodia,Côte d’Ivoire,1,1,1,1,16.275511169011,,1.88714717393401,12.937040096382,A_synchronized
Cambodia,Denmark,1,0,1,0,24.651398826147,,26.0614013671875,13.8737411499023,B_partially
Cambodia,Ecuador,1,1,1,1,24.5278711228286,,3.12967731125372,8.18289651946807,A_synchronized
Cambodia,Egypt,1,0,1,0,28.2714669181836,,12.881085146023,17.9108302617981,B_partially
Cambodia,El Salvador,1,1,1,3,30.3538659356597,,0.403778076171875,3.02444458007813,A_synchronized
Cambodia,Estonia,1,0,1,0,35.7832807396456,,30.2450866699218,15.0645599365234,B_partially
